name,price,Aturan Pakai,Dosis,Efek Samping,Golongan Produk,Indikasi Umum,Kemasan,Komposisi,Kontra Indikasi,Manufaktur,No. Registrasi,Perhatian,uses,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60
Lactacyd All Day Care 60 ml,Rp29.700 - Rp35.200,Tuangkan secukupnya ke telapak tangan dan bersihkan area kewanitaan Bilas hingga bersih Untuk hasil yang optimal,,,,,,,,,,,, Lactic Acid, Tetrasodium EDTA, Ethylhexylglycerin, Citric Acid.;Hipersensitivitas;Aventis Pharma;BPOM: NA54231600003;Kocok dahulu sebelum digunakan. Tidak boleh dipakai terlalu dalam mengenai organ kewanitaan Anda. jauhkan dari jangkauan anak-anak.;LACTACYD ALL DAY CARE 60 ML merupakan sabun kewanitaan yang mengandung Lactoserum dan Lactic acid dari ekstrak susu alami yang memiliki pH yang sesuai dengan pH alami area kewanitaan, sehingga menjaga pertumbuhan bakteri baik Direkomendasikan dan aman digunakan setiap hari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactacyd Odor Fresh 60 ml,Rp24.500 - Rp34.000,Tuangkan secukupnya ke telapak tangan dan bersihkan area V kemudian bilas hingga bersih. Untuk hasil yang optimal,,,,,,,,,,,, Benzoic Acid, Polysorbate 80/Citrus Aurantifolia (Lime) Juice/Rosmarinus Officinalis (Rosemary) Leaf Oil / Azadirachta Indica Leaf Extract/Salvia Officinalis (Sage) Oil/Aloe Barbadensis Leaf Juice Powder/Thymus Zygis Oil/Vetiveria Zizanoides Root Oil, Piper Betle Leaf Oil, Tocopherol, Propylene Glycol, PEG-40 Hydrogenated Castor oil/Trideceth-9/ Caprylyl Glycol/1,2 Hexanediol/Phenethyl Alcohol/Rosa Damascena Flower Oil.;;Aventis Pharma;BPOM: NA54201600002;Kocok dahulu sebelum digunakan;LACTACYD ODOR FRESH merupakan sabun pembersih kewanitaan yang terbuat dari ekstrak susu dan 9 herbal yang menyegarkan Memiliki pH yang sesuai dengan kondisi asam alami daerah kewanitaan Anda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Brand Susu Steril 189 ml,Rp10.200 - Rp12.000,Dapat langsung di minum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetasol Vita Digest Pro Susu Rasa Cappuccino 180 g,Rp27.200 - Rp63.600,Campurkan 4 sendok takar dilarutkan dalam 200 ml air matang,Diminum setiap hari,-,Pangan Olahan Keperluan Medis Khusus,Membantu mengatur kadar glukosa darah pada penderita diabetes bila disertai dengan konsumsi makanan dan minuman rendah gula dan gizi seimbang.,Dus,,,,,,, dengan membantu mengatur kadar glukosa darah pada penderita diabetes bila disertai dengan konsumsi makanan dan minuman rendah gula dan gizi seimbang Diabetasol vita digest in tidak mengandung gila, rendah lemak, mengandung kalsium yang berfungsi untuk memadatkan tulang dan gigi, serta tidak mengandung kolesterol sehingga cocok digunakan untuk penderita diabetes dan mampu mengurangi resiko penyakit jantung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetasol Vita Digest Pro Susu Rasa Cappuccino 600 g,Rp122.700 - Rp203.700,Campurkan 4 sendok takar dilarutkan dalam 200 ml air matang,Diberikan sesuai dengan petunjuk dosis penggunaan,,,,,,,,,,, dengan membantu mengatur kadar glukosa darah pada penderita diabetes bila disertai dengan konsumsi makanan dan minuman rendah gula dan gizi seimbang Diabetasol vita digest in tidak mengandung gila, rendah lemak, mengandung kalsium yang berfungsi untuk memadatkan tulang dan gigi, serta tidak mengandung kolesterol sehingga cocok digunakan untuk penderita diabetes dan mampu mengurangi resiko penyakit jantung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetasol Vita Digest Pro Susu Rasa Cokelat 1 Kg,Rp196.500 - Rp313.500,Campurkan 4 sendok takar dilarutkan dalam 200 ml air matang,Diberikan sesuai dengan petunjuk dosis penggunaan,,,,,,,,,,, rendah lemak, mengandung kalsium yang berfungsi untuk memadatkan tulang dan gigi, serta tidak mengandung kolesterol sehingga cocok digunakan untuk penderita diabetes dan mampu mengurangi resiko penyakit jantung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetasol Vita Digest Pro Susu Rasa Cokelat 180 g,Rp40.500 - Rp66.000,Campurkan 4 sendok takar dilarutkan dalam 200 ml air matang,Diberikan sesuai dengan petunjuk dosis penggunaan,,,,,,,,,,, kering dan terlindung dari kelembaban.;Diabetasol Vita Digest Pro Susu Rasa Cokelat 180 g merupakan susu medis khusus untuk penderita diabetes, dengan membantu mengatur kadar glukosa darah pada penderita diabetes bila disertai dengan konsumsi makanan dan minuman rendah gula dan gizi seimbang Diabetasol vita digest in tidak mengandung gila, rendah lemak, mengandung kalsium yang berfungsi untuk memadatkan tulang dan gigi, serta tidak mengandung kolesterol sehingga cocok digunakan untuk penderita diabetes dan mampu mengurangi resiko penyakit jantung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetasol Vita Digest Pro Susu Rasa Cokelat 600 g,Rp123.200 - Rp212.900,Campurkan 4 sendok takar dilarutkan dalam 200 ml air matang,Diberikan sesuai dengan petunjuk dosis penggunaan,,,,,,,,,,, rendah lemak, mengandung kalsium yang berfungsi untuk memadatkan tulang dan gigi, serta tidak mengandung kolesterol sehingga cocok digunakan untuk penderita diabetes dan mampu mengurangi resiko penyakit jantung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetasol Vita Digest Pro Susu Rasa Vanila 1 Kg,Rp195.300 - Rp336.300,Campurkan 4 sendok takar dilarutkan dalam 200 ml air matang,Diberikan sesuai dengan petunjuk dosis penggunaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetasol Vita Digest Pro Susu Rasa Vanilla 180 g,Rp28.800 - Rp65.100,Campurkan 4 sendok takar dilarutkan dalam 200 ml air matang,Diminum setiap hari,-,Pangan Olahan Keperluan Medis Khusus,Membantu mengatur kadar glukosa darah pada penderita diabetes bila disertai dengan konsumsi makanan dan minuman rendah gula dan gizi seimbang.,Box (Rasa Vanila) 180 G X 1,Maltodextrin,,,,,, dengan membantu mengatur kadar glukosa darah pada penderita diabetes bila disertai dengan konsumsi makanan dan minuman rendah gula dan gizi seimbang Diabetasol vita digest in tidak mengandung gila, rendah lemak, mengandung kalsium yang berfungsi untuk memadatkan tulang dan gigi, serta tidak mengandung kolesterol sehingga cocok digunakan untuk penderita diabetes dan mampu mengurangi resiko penyakit jantung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
